"PROPNUM","SECTION","SEQUENCE","QUALIFIER","KEYWORD","EXPRESSION"
"B4KKJ6WARG",1,1,,"TITLES","Lease: COLO 32-8 #1"
"B4KKJ6WARG",1,6,,"TITLES","Field: IGNACIO-BLANCO"
"B4KKJ6WARG",1,11,,"TITLES","LA PLATA , CO"
"B4KKJ6WARG",1,16,,"TITLES","Operator: APACHE CORPORATION"
"B4KKJ6WARG",4,3,"BUD2003","CUMS","0.460 453.714"
"B4KKJ6WARG",4,4,"BUD2000","CUMS","0.295 205.384"
"B4KKJ6WARG",4,5,"BUD2000","START","04/1999"
"B4KKJ6WARG",4,6,"BUD2000","GAS","890.6 X M/M 08/2002 AD B/2.1215 7.249332"
"B4KKJ6WARG",4,7,"BUD2000","""","715.6 X M/M 155.736 IMU EXP 5.000000"
"B4KKJ6WARG",4,8,"BUD2000","START","04/1999"
"B4KKJ6WARG",4,9,"BUD2000","OIL/GAS","0.005593 0.00504028 B/M TO LIFE LOG TIME"
"B4KKJ6WARG",4,10,"BUD2003","START","1/2003"
"B4KKJ6WARG",4,11,"BUD2003","GAS","700.47 X M/M 152.198 IMU EXP 5.000000"
"B4KKJ6WARG",4,21,"BUD2003","START","1/2003"
"B4KKJ6WARG",4,22,"BUD2003","OIL/GAS","0.00555364 0.00504028 B/M TO LIFE LOG TIME"
"B4KKJ6WARG",5,4,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KKJ6WARG",5,5,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KKJ6WARG",6,14,"LOE99","OPC/T","1100 X $/M TO LIFE ESC OPEX"
"B4KKJ6WARG",6,16,"LOE99","TCR/GAS",".646 .646 $/M 01/2003 AD PC 0"
"B4KKJ6WARG",6,8203,,"ATX","6.97 X % TO LIFE PC 0"
"B4KKJ6WARG",6,16391,,"LOOKUP","SEV @M.STATE"
"B4KKJ6WARG",7,16385,"LGC","NET","79.44000 63.55000 %"
"B4KKJ6WARG",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KKJ6WARG",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
"B4KKJBUBSE",1,1,,"TITLES","Lease: COLO 32-8 #2"
"B4KKJBUBSE",1,6,,"TITLES","Field: IGNACIO-BLANCO"
"B4KKJBUBSE",1,11,,"TITLES","LA PLATA , CO"
"B4KKJBUBSE",1,16,,"TITLES","Operator: APACHE CORPORATION"
"B4KKJBUBSE",4,1,"PREFRAC","CUMS","0.0 288.826"
"B4KKJBUBSE",4,4,"BUD2003","CUMS","0.170 898.568"
"B4KKJBUBSE",4,5,"BUD2000","CUMS","0.147 350.485"
"B4KKJBUBSE",4,6,"BUD2000","START","04/1999"
"B4KKJBUBSE",4,7,"BUD2000","GAS","853.4 X M/M 06/2004 AD B/1.6959 8.308049"
"B4KKJBUBSE",4,8,"BUD2000","""","599.2 X M/M 128.533 IMU EXP 5.000000"
"B4KKJBUBSE",4,9,"BUD2000","START","04/1999"
"B4KKJBUBSE",4,10,"BUD2000","OIL/GAS","0.002084 0.00174592 B/M TO LIFE LOG TIME"
"B4KKJBUBSE",4,11,"BUD2003","START","1/2003"
"B4KKJBUBSE",4,12,"BUD2003","GAS","648.21 X M/M 6/2004 AD B/1.6959 5.434498"
"B4KKJBUBSE",4,13,"BUD2003","""","599.20 X M/M 128.533 IMU EXP 5.000000"
"B4KKJBUBSE",4,22,"PREFRAC","START","07/1994"
"B4KKJBUBSE",4,23,"PREFRAC","GAS","925.2 X M/M 02/1998 AD B/1.8641 7.092030"
"B4KKJBUBSE",4,24,"PREFRAC","""","734.6 X M/M 501.272 IMU EXP 5.000000"
"B4KKJBUBSE",4,25,"BUD2003","START","1/2003"
"B4KKJBUBSE",4,26,"BUD2003","OIL/GAS","0.00205838 0.00174592 B/M TO LIFE LOG TIME"
"B4KKJBUBSE",5,4,"BUD2000","LOOKUP","OILPRICE @M.AREA @M.LIQ_GRAV"
"B4KKJBUBSE",5,5,"BUD2000","LOOKUP","GASPRICE @M.AREA"
"B4KKJBUBSE",6,12,"LOE99","OPC/T","1000 X $/M TO LIFE ESC OPEX"
"B4KKJBUBSE",6,20,"LOE99","TCR/GAS",".646 .646 $/M 01/2003 AD PC 0"
"B4KKJBUBSE",6,16393,,"LOOKUP","SEV @M.STATE"
"B4KKJBUBSE",6,24580,,"ATX","6.97 X % TO LIFE PC 0"
"B4KKJBUBSE",7,3,"LGC","NET","100.00000 75.70716 %"
"B4KKJBUBSE",8,16383,,"CAPITAL","225 100 G 0 YRS"
"B4KKJBUBSE",9,2,"BUD2003","LOAD","MP.OIL OIL 01/2003 01/2010 #"
"B4KKJBUBSE",9,3,"BUD2003","LOAD","MP.GAS GAS 01/2003 01/2010 #"
