"PROPNUM","P_DATE","OIL","GAS","WATER","DAYSON"
"B4KKJ6WARG","1976-01-31 00:00:00",,928,,
"B4KKJ6WARG","1976-02-29 00:00:00",,612,,
"B4KKJ6WARG","1976-03-31 00:00:00",,620,,
"B4KKJ6WARG","1976-04-30 00:00:00",,209,,
"B4KKJ6WARG","1976-05-31 00:00:00",,366,,
"B4KKJ6WARG","1976-06-30 00:00:00",,393,,
"B4KKJ6WARG","1976-07-31 00:00:00",,52,,
"B4KKJ6WARG","1976-08-31 00:00:00",,570,,
"B4KKJ6WARG","1976-09-30 00:00:00",,697,,
"B4KKJ6WARG","1976-10-31 00:00:00",,282,,
"B4KKJ6WARG","1976-11-30 00:00:00",,585,,
"B4KKJ6WARG","1976-12-31 00:00:00",,646,,
"B4KKJ6WARG","1977-01-31 00:00:00",,445,,
"B4KKJ6WARG","1977-02-28 00:00:00",,850,,
"B4KKJ6WARG","1977-03-31 00:00:00",,1209,,
"B4KKJ6WARG","1977-04-30 00:00:00",,701,,
"B4KKJ6WARG","1977-05-31 00:00:00",,988,,
"B4KKJ6WARG","1977-06-30 00:00:00",,621,,
"B4KKJ6WARG","1977-07-31 00:00:00",,1084,,
"B4KKJ6WARG","1977-08-31 00:00:00",,363,,
"B4KKJ6WARG","1977-09-30 00:00:00",,1178,,
"B4KKJ6WARG","1977-10-31 00:00:00",,1167,,
"B4KKJ6WARG","1977-11-30 00:00:00",,935,,
"B4KKJ6WARG","1977-12-31 00:00:00",,1125,,
"B4KKJ6WARG","1978-01-31 00:00:00",,767,,
"B4KKJ6WARG","1978-02-28 00:00:00",,900,,
"B4KKJ6WARG","1978-03-31 00:00:00",,188,,
"B4KKJ6WARG","1978-04-30 00:00:00",,886,,
"B4KKJ6WARG","1978-05-31 00:00:00",,951,,
"B4KKJ6WARG","1978-06-30 00:00:00",,795,,
"B4KKJ6WARG","1978-07-31 00:00:00",,946,,
"B4KKJ6WARG","1978-08-31 00:00:00",,682,,
"B4KKJ6WARG","1978-09-30 00:00:00",,654,,
"B4KKJ6WARG","1978-10-31 00:00:00",,818,,
"B4KKJ6WARG","1978-11-30 00:00:00",,793,,
"B4KKJ6WARG","1978-12-31 00:00:00",,659,,
"B4KKJ6WARG","1979-01-31 00:00:00",,763,,
"B4KKJ6WARG","1979-02-28 00:00:00",,453,,
"B4KKJ6WARG","1979-03-31 00:00:00",,170,,
"B4KKJ6WARG","1979-04-30 00:00:00",,567,,
"B4KKJ6WARG","1979-05-31 00:00:00",,403,,
"B4KKJ6WARG","1979-06-30 00:00:00",,451,,
"B4KKJ6WARG","1979-07-31 00:00:00",,692,,
"B4KKJ6WARG","1979-08-31 00:00:00",,297,,
"B4KKJ6WARG","1979-09-30 00:00:00",,431,,
"B4KKJ6WARG","1979-10-31 00:00:00",,361,,
"B4KKJ6WARG","1979-11-30 00:00:00",,310,,
"B4KKJ6WARG","1979-12-31 00:00:00",,73,,
"B4KKJ6WARG","1980-01-31 00:00:00",,731,,
"B4KKJ6WARG","1980-02-29 00:00:00",,129,,
"B4KKJ6WARG","1980-03-31 00:00:00",,207,,
"B4KKJ6WARG","1980-04-30 00:00:00",,465,,
"B4KKJ6WARG","1980-05-31 00:00:00",,229,,
"B4KKJ6WARG","1980-06-30 00:00:00",,668,,
"B4KKJ6WARG","1980-07-31 00:00:00",,586,,
"B4KKJ6WARG","1980-08-31 00:00:00",,376,,
"B4KKJ6WARG","1980-09-30 00:00:00",,752,,
"B4KKJ6WARG","1980-10-31 00:00:00",,1008,,
"B4KKJ6WARG","1980-11-30 00:00:00",,911,,
"B4KKJ6WARG","1980-12-31 00:00:00",,1011,,
"B4KKJ6WARG","1981-01-31 00:00:00",,341,,
"B4KKJ6WARG","1981-02-28 00:00:00",,549,,
"B4KKJ6WARG","1981-03-31 00:00:00",,1011,,
"B4KKJ6WARG","1981-04-30 00:00:00",,1337,,
"B4KKJ6WARG","1981-05-31 00:00:00",,1187,,
"B4KKJ6WARG","1981-06-30 00:00:00",,687,,
"B4KKJ6WARG","1981-07-31 00:00:00",,1002,,
"B4KKJ6WARG","1981-08-31 00:00:00",,729,,
"B4KKJ6WARG","1981-09-30 00:00:00",,571,,
"B4KKJ6WARG","1981-10-31 00:00:00",,1218,,
"B4KKJ6WARG","1981-11-30 00:00:00",,938,,
"B4KKJ6WARG","1981-12-31 00:00:00",,784,,
"B4KKJ6WARG","1982-01-31 00:00:00",,1507,,
"B4KKJ6WARG","1982-02-28 00:00:00",,931,,
"B4KKJ6WARG","1982-03-31 00:00:00",,573,,
"B4KKJ6WARG","1982-04-30 00:00:00",,946,,
"B4KKJ6WARG","1982-05-31 00:00:00",,1404,,
"B4KKJ6WARG","1982-06-30 00:00:00",,1722,,
"B4KKJ6WARG","1982-07-31 00:00:00",,694,,
"B4KKJ6WARG","1982-08-31 00:00:00",,1241,,
"B4KKJ6WARG","1982-09-30 00:00:00",,423,,
"B4KKJ6WARG","1982-10-31 00:00:00",,1863,,
"B4KKJ6WARG","1982-11-30 00:00:00",,843,,
